"filename", "language", "JSON with Comments", "Markdown", "TypeScript", "JSON", "JavaScript", "XML", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Code\ABC\the-adventures-of-muni\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Code\ABC\the-adventures-of-muni\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\Code\ABC\the-adventures-of-muni\next.config.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 1, 3, 9
"c:\Code\ABC\the-adventures-of-muni\package-lock.json", "JSON", 0, 0, 0, 6017, 0, 0, 0, 0, 0, 1, 6018
"c:\Code\ABC\the-adventures-of-muni\package.json", "JSON", 0, 0, 0, 30, 0, 0, 0, 0, 0, 1, 31
"c:\Code\ABC\the-adventures-of-muni\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 1, 2, 9
"c:\Code\ABC\the-adventures-of-muni\public\file.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Code\ABC\the-adventures-of-muni\public\globe.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Code\ABC\the-adventures-of-muni\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Code\ABC\the-adventures-of-muni\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Code\ABC\the-adventures-of-muni\public\window.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Code\ABC\the-adventures-of-muni\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 48, 27, 12, 87
"c:\Code\ABC\the-adventures-of-muni\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 5, 37
"c:\Code\ABC\the-adventures-of-muni\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"c:\Code\ABC\the-adventures-of-muni\src\components\Book.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 476, 0, 38, 31, 545
"c:\Code\ABC\the-adventures-of-muni\src\components\CLOUD\5A\Page_5A.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 2, 5, 41
"c:\Code\ABC\the-adventures-of-muni\src\components\CLOUD\5B\Page_5B.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 3, 5, 53
"c:\Code\ABC\the-adventures-of-muni\src\components\CLOUD\5C\Page_5C.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 1, 4, 39
"c:\Code\ABC\the-adventures-of-muni\src\components\CLOUD\5D\Page_5D.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 1, 4, 39
"c:\Code\ABC\the-adventures-of-muni\src\components\CLOUD\5E\Page_5E.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 1, 5, 33
"c:\Code\ABC\the-adventures-of-muni\src\components\CLOUD\5F\Page_5F.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 1, 4, 32
"c:\Code\ABC\the-adventures-of-muni\src\components\CLOUD\5G\Page_5G.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 5, 9, 95
"c:\Code\ABC\the-adventures-of-muni\src\components\CLOUD\5J\Page_5J.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 90, 0, 3, 14, 107
"c:\Code\ABC\the-adventures-of-muni\src\components\CLOUD\5K\Page_5K.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 89, 0, 4, 10, 103
"c:\Code\ABC\the-adventures-of-muni\src\components\CLOUD\5M\Page_5M.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 86, 0, 3, 14, 103
"c:\Code\ABC\the-adventures-of-muni\src\components\CLOUD\5N\Page_5N.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 80, 0, 4, 10, 94
"c:\Code\ABC\the-adventures-of-muni\src\components\CLOUD\5P\Page_5P.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 183, 0, 15, 22, 220
"c:\Code\ABC\the-adventures-of-muni\src\components\CLOUD\5Q\Page_5Q.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 2, 6, 48
"c:\Code\ABC\the-adventures-of-muni\src\components\CLOUD\5R\Page_5R.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 80, 0, 4, 10, 94
"c:\Code\ABC\the-adventures-of-muni\src\components\FISH\4A\Page_4A.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 2, 5, 41
"c:\Code\ABC\the-adventures-of-muni\src\components\FISH\4B\Page_4B.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 3, 5, 52
"c:\Code\ABC\the-adventures-of-muni\src\components\FISH\4C\Page_4C.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 2, 5, 52
"c:\Code\ABC\the-adventures-of-muni\src\components\FISH\4D\Page_4D.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 1, 6, 44
"c:\Code\ABC\the-adventures-of-muni\src\components\FISH\4E\Page_4E.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 1, 4, 32
"c:\Code\ABC\the-adventures-of-muni\src\components\FISH\4F\Page_4F.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 1, 4, 32
"c:\Code\ABC\the-adventures-of-muni\src\components\FISH\4G\Page_4G.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 1, 4, 32
"c:\Code\ABC\the-adventures-of-muni\src\components\FISH\4H\Page_4H.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 5, 9, 95
"c:\Code\ABC\the-adventures-of-muni\src\components\FISH\4K\Page_4K.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 96, 0, 3, 14, 113
"c:\Code\ABC\the-adventures-of-muni\src\components\FISH\4L\Page_4L.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 80, 0, 4, 10, 94
"c:\Code\ABC\the-adventures-of-muni\src\components\FISH\4N\Page_4N.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 94, 0, 3, 14, 111
"c:\Code\ABC\the-adventures-of-muni\src\components\FISH\4O\Page_4O.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 80, 0, 4, 10, 94
"c:\Code\ABC\the-adventures-of-muni\src\components\FISH\4Q\Page_4Q.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 274, 0, 7, 21, 302
"c:\Code\ABC\the-adventures-of-muni\src\components\FISH\4R\Page_4R.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 2, 7, 63
"c:\Code\ABC\the-adventures-of-muni\src\components\FLOWER\3A\Page_3A.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 1, 4, 32
"c:\Code\ABC\the-adventures-of-muni\src\components\FLOWER\3B\Page_3B.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 1, 4, 51
"c:\Code\ABC\the-adventures-of-muni\src\components\FLOWER\3C\Page_3C.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 1, 4, 39
"c:\Code\ABC\the-adventures-of-muni\src\components\FLOWER\3D\Page_3D.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 1, 4, 39
"c:\Code\ABC\the-adventures-of-muni\src\components\FLOWER\3E\Page_3E.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 1, 4, 32
"c:\Code\ABC\the-adventures-of-muni\src\components\FLOWER\3F\Page_3F.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 1, 4, 32
"c:\Code\ABC\the-adventures-of-muni\src\components\FLOWER\3G\Page_3G.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 6, 12, 99
"c:\Code\ABC\the-adventures-of-muni\src\components\FLOWER\3J\Page_3J.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 4, 17, 113
"c:\Code\ABC\the-adventures-of-muni\src\components\FLOWER\3K\Page_3K.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 3, 5, 49
"c:\Code\ABC\the-adventures-of-muni\src\components\FLOWER\3L\Page_3L.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 4, 18, 114
"c:\Code\ABC\the-adventures-of-muni\src\components\FLOWER\3MN\Page_3MN.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 89, 0, 7, 12, 108
"c:\Code\ABC\the-adventures-of-muni\src\components\FLOWER\3P\Page_3P.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 3, 6, 64
"c:\Code\ABC\the-adventures-of-muni\src\components\FLOWER\flower1.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 4, 39
"c:\Code\ABC\the-adventures-of-muni\src\components\MiniGameModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 3, 34
"c:\Code\ABC\the-adventures-of-muni\src\components\OUTDOOR\2A\Page_2A.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 3, 9, 80
"c:\Code\ABC\the-adventures-of-muni\src\components\OUTDOOR\2B\Page_2B.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 88, 0, 3, 9, 100
"c:\Code\ABC\the-adventures-of-muni\src\components\PATHSDONE\Page_5S.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 3, 9, 74
"c:\Code\ABC\the-adventures-of-muni\src\components\PickPath.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 133, 0, 7, 16, 156
"c:\Code\ABC\the-adventures-of-muni\src\components\SCHOOL\1A\Page_1A.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 1, 5, 33
"c:\Code\ABC\the-adventures-of-muni\src\components\SCHOOL\1B\Page_1B.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 79, 0, 3, 9, 91
"c:\Code\ABC\the-adventures-of-muni\src\components\SCHOOL\1C\Page_1C.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 70, 0, 3, 9, 82
"c:\Code\ABC\the-adventures-of-muni\src\hooks\useDragger.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 4, 15, 81
"c:\Code\ABC\the-adventures-of-muni\src\routes\FlowerPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 209, 0, 14, 31, 254
"c:\Code\ABC\the-adventures-of-muni\src\routes\Page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 5, 27
"c:\Code\ABC\the-adventures-of-muni\src\routes\Page_3B.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 1, 4, 25
"c:\Code\ABC\the-adventures-of-muni\src\utils\hoverSFX.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Code\ABC\the-adventures-of-muni\src\utils\pixelCollision.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 0, 0, 9, 14, 89
"c:\Code\ABC\the-adventures-of-muni\tailwind.config.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 2, 58
"c:\Code\ABC\the-adventures-of-muni\tsconfig.json", "JSON with Comments", 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 27, 23, 189, 6047, 18, 5, 3938, 48, 239, 556, 11090